shapeid,partid,x,y
"0","0",131.535899285,-31.6055640599999
"0","0",131.345550977,-31.5309384089999
"0","0",131.177500847,-31.4776343729999
"0","0",131.13542728,-31.4747860659999
"0","0",131.092295769,-31.4919572899999
"0","0",130.993500196,-31.5542945289999
"0","0",130.833750847,-31.6017391909999
"0","0",130.790049675,-31.6080868469999
"0","0",130.696787957,-31.6055640599999
"0","0",130.547699415,-31.5856259089999
"0","0",130.311859571,-31.5855445289999
"0","0",130.267425977,-31.5744768209999
"0","0",130.156911655,-31.5739071589999
"0","0",130.136729363,-31.5768368469999
"0","0",130.078786655,-31.5943335919999
"0","0",129.943614129,-31.5892880189999
"0","0",129.753184441,-31.6154924459999
"0","0",129.536875847,-31.6222470029999
"0","0",129.471039259,-31.6408016909999
"0","0",129.451182488,-31.6433244769999
"0","0",129.365489129,-31.6433244769999
"0","0",129.308360222,-31.6547177059999
"0","0",129.286631707,-31.6564266909999
"0","0",129.22136478,-31.6543921849999
"0","0",129.200450066,-31.6564266909999
"0","0",129.138356967,-31.6775041649999
"0","0",129.12370853,-31.6788876279999
"0","0",129.093109571,-31.6774227839999
"0","0",129.000091993,-31.6892229149999
"0","0",128.990000847,-31.6905249979999
"0","0",128.931651238,-31.7081031229999
"0","0",128.770681186,-31.7782528629999
"0","0",128.755381707,-31.7936337219999
"0","0",128.723887566,-31.8036434879999
"0","0",128.65528405,-31.8457984349999
"0","0",128.218923373,-32.0176734349999
"0","0",128.017344597,-32.0842424459999
"0","0",127.766286655,-32.1231421849999
"0","0",127.585948113,-32.1823869769999
"0","0",127.566091342,-32.1846656229999
"0","0",127.555430535,-32.1888973939999
"0","0",127.53785241,-32.2071265599999
"0","0",127.531993035,-32.2113583309999
"0","0",127.288747592,-32.2733700499999
"0","0",127.110118035,-32.2933895809999
"0","0",127.090098504,-32.3007137999999
"0","0",127.083262566,-32.2938778629999
"0","0",127.052989129,-32.3038062479999
"0","0",126.935801629,-32.3007137999999
"0","0",126.820648634,-32.3108049459999
"0","0",126.788910352,-32.3007137999999
"0","0",126.760264519,-32.3109677059999
"0","0",126.677744988,-32.3165829409999
"0","0",126.372325066,-32.2828101539999
"0","0",126.277598504,-32.2562802059999
"0","0",126.24878991,-32.2416317689999
"0","0",126.203623894,-32.2385393209999
"0","0",126.185720248,-32.2325171849999
"0","0",126.174082879,-32.2369117169999
"0","0",126.137868686,-32.2453752579999
"0","0",126.126963738,-32.2521298159999
"0","0",126.110850457,-32.2681617169999
"0","0",126.103770379,-32.2733700499999
"0","0",126.078786655,-32.2805315079999
"0","0",126.007578972,-32.2733700499999
"0","0",125.977448985,-32.2843401099999
"0","0",125.926769163,-32.3069433769999
"0","0",125.870000043,-32.3329830099999
"0","0",125.803118562,-32.3744783929999
"0","0",125.673335472,-32.4589709779999
"0","0",125.537274695,-32.5483787889999
"0","0",125.474227557,-32.5638603019999
"0","0",125.337827088,-32.6015148889999
"0","0",125.256264806,-32.6391201689999
"0","0",125.09644616,-32.7121721329999
"0","0",125.036306186,-32.7299130189999
"0","0",125.017588738,-32.7321102839999
"0","0",125.000254754,-32.7372372379999
"0","0",124.901913602,-32.8336590879999
"0","0",124.83399147,-32.8676979489999
"0","0",124.745860222,-32.8921851539999
"0","0",124.708832227,-32.9039039039999
"0","0",124.518477174,-32.9278066059999
"0","0",124.356944207,-32.9528134089999
"0","0",124.314952019,-32.9660783829999
"0","0",124.296560092,-32.9781226539999
"0","0",124.254893425,-33.0133602839999
"0","0",124.242930535,-33.0206845029999
"0","0",124.222666863,-33.0256486959999
"0","0",124.201182488,-33.0380184879999
"0","0",124.164805535,-33.0679664039999
"0","0",124.116547071,-33.1215145809999
"0","0",124.094737175,-33.1556942689999
"0","0",124.081553582,-33.1908505189999
"0","0",124.075531446,-33.2330868469999
"0","0",124.069672071,-33.2535946589999
"0","0",124.058360222,-33.2701962219999
"0","0",124.04566491,-33.2846005189999
"0","0",124.008311394,-33.3541805969999
"0","0",124.007090691,-33.3619930969999
"0","0",124.007497592,-33.3684221329999
"0","0",124.007090691,-33.3770484349999
"0","0",124.003916863,-33.3882789039999
"0","0",123.994639519,-33.4109026019999
"0","0",123.988780144,-33.4356421849999
"0","0",123.970713738,-33.4797502579999
"0","0",123.965505405,-33.4997697899999
"0","0",123.961110873,-33.5471330709999
"0","0",123.952484571,-33.5673153629999
"0","0",123.934418165,-33.5756161439999
"0","0",123.910899285,-33.5790341129999
"0","0",123.891612175,-33.5881486959999
"0","0",123.875743035,-33.6012509089999
"0","0",123.863047722,-33.6164690079999
"0","0",123.863454623,-33.6182593729999
"0","0",123.864512566,-33.6215145809999
"0","0",123.864756707,-33.6255835919999
